group,n_stories,distinct2,selfbleu,emo_mpd,plot_mpd,sbert_mpd,lex_jsd
mem0_101a,10,,,6.21165827593352,5.123511824007407,,0.3408679125280075
mem0_101b,10,,,6.37574761505485,4.955909228629996,,0.35279898308387203
mem0_202a,10,,,5.794615156229004,4.6457226978964234,,0.32742130345718007
mem0_202b,10,,,6.040158927141868,4.836975127212189,,0.32811716678210173
mem0_303a,10,,,5.363051129609227,5.657949555687042,,0.35060924181540376
mem0_303b,10,,,5.958859447113577,5.201083284421207,,0.33820884126101725
mem0_404a,10,,,6.217793595407969,5.437206886142883,,0.3327596767872318
mem0_404b,10,,,5.559586597643809,4.72127977430155,,0.3409800175296542
none_101a,10,,,7.07753401631188,5.786833767312823,,0.319832107210896
none_101b,10,,,6.140748782448988,5.717844262765703,,0.33099420614758657
none_202a,10,,,5.964750183526741,4.936193828988349,,0.3509313840320043
none_202b,10,,,6.199310753670004,5.834650924718175,,0.32361882589931185
none_303a,10,,,4.446528663548945,4.708941197967016,,0.30210252201181276
none_303b,10,,,4.492554295192059,5.974616607601279,,0.2976030729441148
none_404a,10,,,5.3913393358356405,5.080329848126329,,0.3458090828602814
none_404b,10,,,6.25983488873481,5.673190176671781,,0.3333156349904015
